ProbeName	ZT23a	ZT01a	ZT03a	ZT05a	ZT07a	ZT09a	ZT11a	ZT13a	ZT15a	ZT17a	ZT19a	ZT21a	ZT23b	ZT01b
GS1_SS_16472_20884	0.10395	0.02105	0.07515	0.0807	0.09025	0.2295	0.022	-0.0155	0.0177	-0.01255	0.242	0.1202	0.03935	0.08325
GS1_SS_16474_04127	-0.478	-0.4235	-0.7305	-0.257	0.3035	0.149	0.4335	0.513	0.4055	0.5795	-0.166	-0.16455	-0.11265	0.0595
GS1_SS_16477_11229	-0.14605	-0.202	-0.14	-0.1626	-0.143	-0.09065	0.0515	0.026	0.052	0.1105	0.0723	-0.10385	0.0445	-0.013
GS1_SS_16479_04292	-0.1085	-0.3715	-0.186	0.2165	0.06065	0.437	0.381	0.355325	0.359	0.062	0.279	0.10595	-0.112505	-0.30485
GS1_SS_16480_00428	-0.222	-0.3305	-0.21785	-0.3045	0.104775	0.36	-0.02	-0.0569	-0.0181	-0.20165	0.066	-0.07695	-0.258	-0.3895
GS1_SS_16481_18843	0.07155	0.02725	0.0388	0.0103	0.01965	-0.0325	0.014565	0.0148	0.03655	0.000175	0.207	0.145	0.0294	-0.01075
GS1_SS_16482_04175	0.18545	0.24705	0.3105	0.146	-0.19585	-0.0648	0.0003	0.03515	0.14635	0.1456	0.18	0.0888	0.10245	0.1482
GS1_SS_16483_06346	0.142	0.181	0.222	-0.1029	-0.059	0.1965	0.0458	-0.0505	-0.075105	0.0506	0.191	0.03675	0.0854	0.07985
GS1_SS_16484_08425	-0.1605	-0.000845	0.0055	0.01135	0.168	0.4165	0.19905	0.157	0.07795	-0.0434	-0.159	-0.04025	-0.1458	-0.224165
GS1_SS_16487_02911	-0.01655	-0.201	-0.15635	-0.11355	-0.1731	-0.0366	0.05705	0.2425	0.321	0.0559	0.277	0.26975	0.035275	0.01275
GS1_SS_16488_12071	-0.6305	-0.5485	-0.32	0.1045	0.07	-0.1333295	-0.501	-0.031	-0.291	0.099	-0.771	0.567	-0.358	-0.0745
GS1_SS_16493_20105	-0.00915	-0.0794	-0.0729	-0.0354	0.03995	0.06505	-0.08165	-0.0753	0.03695	-0.159	0.00649	-0.0238	0.05726	0.00117
GS1_SS_16495_11414	0.1745	0.154	0.0827	0.043	-0.14665	-0.1735	-0.03035	-0.12975	-0.00195	0.04385	0.0399	0.1955	0.078	0.14975
GS1_SS_16496_01831	0.082	-0.1146	-0.185	-0.0234	-0.0126	-0.0355	0.09825	-0.002905	0.2985	0.05155	0.154	0.011	0.0234	0.0379
GS1_SS_16500_07098	0.03745	0.13775	0.269	0.269	0.0571	0.1147	0.0311455	-0.12035	0.02405	-0.0431545	-0.213	-0.045	0.0597	-0.00165
GS1_SS_16502_09945	-0.1334	-0.3135	-0.37	-0.189	0.2115	0.20675	0.07935	0.2066	0.3845	0.070135	0.129	0.01335	-0.1664	-0.192
GS1_SS_16503_06501	0.238	0.0612	-0.037	0.1855	0.1724	0.1835	0.08	0.314	0.2565	-0.0256	0.325	0.18905	-0.0762	-0.03985
GS1_SS_16504_16859	0.09485	0.1568	0.1054	0.03785	-0.10432	-0.166	-0.0507	-0.12475	0.00564	0.0938	0.258	0.15785	0.09985	0.10785
GS1_SS_16506_13358	-0.158	-0.09565	-0.05215	0.2	0.384	-0.0445	-0.13445	-0.196	-0.1617	-0.13295	-0.224	-0.1	0.0341	0.01385
GS1_SS_16509_13631	-0.3895	-0.377	-0.3135	0.09335	0.8745	0.5985	0.031	-0.067295	-0.425	-0.4075	-0.647	-0.4485	-0.3635	-0.257785
GS1_SS_16511_04168	0.1765	0.132	0.13775	-0.0242	-0.176	-0.264	0.10325	0.1235	0.035	0.119975	0.134	0.07106	0.1175	0.126425
GS1_SS_16513_12596	-0.244345	-0.414	-0.369	-0.493	0.567	0.626	0.1529	0.16685	-0.3955	0.0794	-0.184	-0.38965	-0.31905	-0.198
GS1_SS_16516_03105	-0.2765	0.3785	-0.309	-0.324	-0.27	-0.243	-0.4705	-0.19	0.3625	0.181	-0.0655	0.549	-0.11665	-0.122
GS1_SS_16518_04672	0.11715	0.079	0.0217	0.03825	0.0495	-0.0695	-0.0444	0.0877	0.0518	-0.1814	0.129	0.03	0.025	-0.0657
GS1_SS_16520_11914	-0.164	0.2255	-0.214	0.01	0.1415	0.163	0.181	0.19093	0.017	0.223	0.301	0.2915	-0.08965	-0.074
GS1_SS_16523_01257	-0.182	-0.0043	-0.08715	0.011065	-0.05505	0.2195	-0.12125	-0.2035	-0.2245	-0.06695	-0.0193	0.1043	-0.036	-0.07555
